transaction_id,timestamp,vendor,category,amount,currency,country,method,description,vat_claimed,invoice_id,non_compliant
21,2024-01-16T08:00:00,City Diner,meals,640.89,USD,US,card,Team lunch - City Diner,0.0,INV-00021,1
22,2024-03-14T15:00:00,Zen Marketing,marketing,446.69,USD,GB,card,Campaign spend - Zen Marketing,31.27,INV-00022,0
23,2024-07-04T18:00:00,Blue Travel,travel,205.84,USD,US,card,Airfare + baggage - Blue Travel,14.41,INV-00023,0
24,2024-04-28T19:00:00,Quick Transports,logistics,254.77,USD,GB,wire,Freight shipment fee - Quick Transports,17.83,INV-00024,0
25,2024-06-15T20:00:00,Sunshine Hotels,lodging,495.81,USD,US,ach,Hotel stay - Sunshine Hotels,0.0,INV-00025,0
26,2024-04-30T17:00:00,Cloud Infra,cloud,105.79,USD,IN,ach,Compute instance charges - Cloud Infra,7.41,INV-00026,0
27,2024-08-15T12:00:00,City Diner,meals,334.86,USD,GB,wire,Team lunch - City Diner,0.0,INV-00027,1
28,2024-07-12T18:00:00,Bright Office,office,88.28,USD,US,wire,Office supplies purchase - Bright Office,6.18,INV-00028,0
29,2024-01-01T15:00:00,TaxPrep LLC,professional_service,429.97,USD,CA,ach,Consulting retainer - TaxPrep LLC,30.1,INV-00029,0
30,2024-07-25T09:00:00,Quick Transports,logistics,257.84,USD,CA,card,Freight shipment fee - Quick Transports,18.05,INV-00030,1
31,2024-05-18T19:00:00,Acme Software,software,312.14,USD,GB,wire,SaaS subscription - Acme Software,21.85,INV-00031,0
32,2024-04-30T16:00:00,Quick Transports,logistics,435.02,USD,DE,ach,Freight shipment fee - Quick Transports,30.45,INV-00032,0
33,2024-07-12T17:00:00,Quick Transports,logistics,281.53,USD,IN,ach,Freight shipment fee - Quick Transports,19.71,INV-00033,0
34,2024-08-19T20:00:00,Acme Software,software,238.82,USD,US,ach,SaaS subscription - Acme Software,16.72,INV-00034,0
35,2024-02-21T15:00:00,Bright Office,office,872.99,USD,DE,wire,Office supplies purchase - Bright Office,61.11,INV-00035,0
36,2024-06-03T19:00:00,Zen Marketing,marketing,618.04,USD,GB,wire,Campaign spend - Zen Marketing,43.26,INV-00036,1
37,2024-08-15T17:00:00,ComplySoft,cloud,105.41,USD,SG,cash,Compute instance charges - ComplySoft,7.38,INV-00037,0
38,2024-06-03T13:00:00,Bright Office,office,395.19,USD,NL,wire,Office supplies purchase - Bright Office,27.66,INV-00038,0
39,2024-08-13T18:00:00,City Diner,meals,311.68,USD,CA,cash,Team lunch - City Diner,0.0,INV-00039,1
40,2024-06-17T17:00:00,Bright Office,office,325.62,USD,IN,ach,Office supplies purchase - Bright Office,22.79,INV-00040,0
41,2024-02-20T14:00:00,Zen Marketing,marketing,372.21,USD,IN,wire,Campaign spend - Zen Marketing,26.05,INV-00041,0
42,2024-06-06T17:00:00,Blue Travel,travel,84.05,USD,US,card,Airfare + baggage - Blue Travel,5.88,INV-00042,0
43,2024-09-15T14:00:00,Acme Software,software,287.82,USD,DE,ach,SaaS subscription - Acme Software,20.15,INV-00043,0
44,2024-07-01T09:00:00,Zen Marketing,marketing,225.62,USD,CA,cash,Campaign spend - Zen Marketing,15.79,INV-00044,0
45,2024-08-20T15:00:00,Quick Transports,logistics,248.82,USD,US,ach,Freight shipment fee - Quick Transports,17.42,INV-00045,0
46,2024-09-01T18:00:00,Global Supplies,office,200.0,USD,IN,card,Office supplies purchase - Global Supplies,14.0,INV-00046,0
47,2024-03-23T14:00:00,Zen Marketing,marketing,208.82,USD,CA,ach,Campaign spend - Zen Marketing,14.62,INV-00047,0
48,2024-09-02T18:00:00,Cloud Infra,cloud,23.9,USD,GB,wire,Compute instance charges - Cloud Infra,1.67,INV-00048,0
49,2024-04-12T08:00:00,Cloud Infra,cloud,76.16,USD,US,card,Compute instance charges - Cloud Infra,5.33,INV-00049,0
50,2024-06-19T20:00:00,ComplySoft,cloud,312.55,USD,NL,cash,Compute instance charges - ComplySoft,21.88,INV-00050,0
51,2024-06-21T18:00:00,Zen Marketing,marketing,172.8,USD,NL,cash,Campaign spend - Zen Marketing,12.1,INV-00051,0
52,2024-05-27T20:00:00,TaxPrep LLC,professional_service,96.53,USD,DE,card,Consulting retainer - TaxPrep LLC,6.76,INV-00052,0
53,2024-09-03T13:00:00,Skyline Legal,legal,48.19,USD,DE,wire,Legal review fee - Skyline Legal,3.37,INV-00053,0
54,2024-08-21T14:00:00,TaxPrep LLC,professional_service,671.61,USD,US,cash,Consulting retainer - TaxPrep LLC,47.01,INV-00054,0
55,2024-07-28T13:00:00,City Diner,meals,646.05,USD,GB,wire,Team lunch - City Diner,0.0,INV-00055,1
56,2024-06-05T15:00:00,Quick Transports,logistics,140.91,USD,SG,ach,Freight shipment fee - Quick Transports,9.86,INV-00056,0
57,2024-09-08T12:00:00,Bright Office,office,146.07,USD,IN,ach,Office supplies purchase - Bright Office,10.22,INV-00057,1
58,2024-06-24T09:00:00,Blue Travel,travel,341.82,USD,GB,card,Airfare + baggage - Blue Travel,23.93,INV-00058,0
59,2024-03-13T10:00:00,Global Supplies,office,451.51,USD,IN,card,Office supplies purchase - Global Supplies,31.61,INV-00059,0
60,2024-08-19T13:00:00,Zen Marketing,marketing,803.02,USD,DE,ach,Campaign spend - Zen Marketing,56.21,INV-00060,0
61,2024-04-18T15:00:00,Skyline Legal,legal,117.9,USD,GB,cash,Legal review fee - Skyline Legal,8.25,INV-00061,0
62,2024-05-21T13:00:00,Skyline Legal,legal,360.23,USD,SG,card,Legal review fee - Skyline Legal,25.22,INV-00062,0
63,2024-06-24T13:00:00,Quick Transports,logistics,536.65,USD,GB,card,Freight shipment fee - Quick Transports,37.57,INV-00063,0
64,2024-07-25T13:00:00,Zen Marketing,marketing,511.54,USD,NL,ach,Campaign spend - Zen Marketing,35.81,INV-00064,0
65,2024-01-14T20:00:00,Zen Marketing,marketing,155.79,USD,IN,cash,Campaign spend - Zen Marketing,10.9,INV-00065,1
66,2024-06-03T15:00:00,Bright Office,office,362.61,USD,DE,ach,Office supplies purchase - Bright Office,25.38,INV-00066,0
67,2024-07-13T08:00:00,Global Supplies,office,590.16,USD,US,card,Office supplies purchase - Global Supplies,41.31,INV-00067,0
68,2024-03-08T10:00:00,Quick Transports,logistics,200.0,USD,NL,ach,Freight shipment fee - Quick Transports,14.0,INV-00068,0
69,2024-04-23T08:00:00,Sunshine Hotels,lodging,658.0,USD,NL,ach,Hotel stay - Sunshine Hotels,0.0,INV-00069,0
70,2024-05-10T09:00:00,Cloud Infra,cloud,569.9,USD,CA,cash,Compute instance charges - Cloud Infra,39.89,INV-00070,0
71,2024-09-26T20:00:00,Sunshine Hotels,lodging,416.24,USD,GB,wire,Hotel stay - Sunshine Hotels,0.0,INV-00071,0
72,2024-08-17T12:00:00,Zen Marketing,marketing,510.3,USD,SG,cash,Campaign spend - Zen Marketing,35.72,INV-00072,0
73,2024-05-12T12:00:00,ComplySoft,cloud,417.64,USD,US,cash,Compute instance charges - ComplySoft,29.23,INV-00073,0
74,2024-02-29T19:00:00,Skyline Legal,legal,210.18,USD,CA,ach,Legal review fee - Skyline Legal,14.71,INV-00074,0
75,2024-04-22T15:00:00,TaxPrep LLC,professional_service,189.31,USD,DE,card,Consulting retainer - TaxPrep LLC,13.25,INV-00075,0
76,2024-08-07T14:00:00,City Diner,meals,79.82,USD,US,ach,Team lunch - City Diner,0.0,INV-00076,1
77,2024-05-27T19:00:00,Sunshine Hotels,lodging,92.06,USD,NL,wire,Hotel stay - Sunshine Hotels,0.0,INV-00077,0
78,2024-06-24T12:00:00,Cloud Infra,cloud,126.65,USD,CA,cash,Compute instance charges - Cloud Infra,8.87,INV-00078,0
79,2024-07-18T14:00:00,City Diner,meals,333.93,USD,NL,cash,Team lunch - City Diner,0.0,INV-00079,1
80,2024-08-06T17:00:00,Acme Software,software,254.6,USD,DE,ach,SaaS subscription - Acme Software,17.82,INV-00080,0
81,2024-06-19T11:00:00,Cloud Infra,cloud,382.89,USD,US,cash,Compute instance charges - Cloud Infra,26.8,INV-00081,0
82,2024-06-14T18:00:00,TaxPrep LLC,professional_service,25.96,USD,CA,wire,Consulting retainer - TaxPrep LLC,1.82,INV-00082,0
83,2024-07-30T20:00:00,Bright Office,office,393.11,USD,SG,card,Office supplies purchase - Bright Office,27.52,INV-00083,0
84,2024-03-02T16:00:00,Zen Marketing,marketing,309.44,USD,IN,wire,Campaign spend - Zen Marketing,21.66,INV-00084,0
85,2024-03-09T18:00:00,ComplySoft,cloud,186.72,USD,CA,cash,Compute instance charges - ComplySoft,13.07,INV-00085,0
86,2024-02-10T17:00:00,City Diner,meals,194.91,USD,SG,card,Team lunch - City Diner,0.0,INV-00086,1
87,2024-08-08T18:00:00,TaxPrep LLC,professional_service,84.14,USD,IN,wire,Consulting retainer - TaxPrep LLC,5.89,INV-00087,0
88,2024-05-11T16:00:00,Quick Transports,logistics,592.53,USD,DE,wire,Freight shipment fee - Quick Transports,41.48,INV-00088,1
89,2024-05-07T19:00:00,City Diner,meals,100.0,USD,SG,wire,Team lunch - City Diner,0.0,INV-00089,1
90,2024-09-06T10:00:00,ComplySoft,cloud,459.92,USD,DE,ach,Compute instance charges - ComplySoft,32.19,INV-00090,0
91,2024-01-22T09:00:00,Blue Travel,travel,347.61,USD,CA,ach,Airfare + baggage - Blue Travel,24.33,INV-00091,0
92,2024-06-23T21:00:00,Zen Marketing,marketing,266.16,USD,DE,cash,Campaign spend - Zen Marketing,18.63,INV-00092,1
93,2024-06-27T08:00:00,Acme Software,software,289.19,USD,IN,ach,SaaS subscription - Acme Software,20.24,INV-00093,0
94,2024-01-11T21:00:00,Blue Travel,travel,262.21,USD,US,card,Airfare + baggage - Blue Travel,18.35,INV-00094,0
95,2024-08-22T21:00:00,Global Supplies,office,66.15,USD,CA,card,Office supplies purchase - Global Supplies,4.63,INV-00095,0
96,2024-08-28T09:00:00,City Diner,meals,195.66,USD,CA,wire,Team lunch - City Diner,0.0,INV-00096,1
97,2024-03-06T16:00:00,TaxPrep LLC,professional_service,364.0,USD,US,wire,Consulting retainer - TaxPrep LLC,25.48,INV-00097,0
98,2024-06-18T10:00:00,City Diner,meals,697.34,USD,US,cash,Team lunch - City Diner,0.0,INV-00098,1
99,2024-09-01T15:00:00,Blue Travel,travel,2911.73,USD,IN,cash,Airfare + baggage - Blue Travel,203.82,INV-00099,0
100,2024-02-05T09:00:00,Bright Office,office,4.31,USD,US,cash,Office supplies purchase - Bright Office,0.3,INV-00100,0
101,2024-01-11T08:00:00,Zen Marketing,marketing,309.02,USD,IN,cash,Campaign spend - Zen Marketing,21.63,INV-00101,0
102,2024-02-22T18:00:00,Skyline Legal,legal,274.27,USD,CA,wire,Legal review fee - Skyline Legal,19.2,INV-00102,0
103,2024-07-24T21:00:00,Zen Marketing,marketing,225.78,USD,GB,card,Campaign spend - Zen Marketing,15.8,INV-00103,0
104,2024-06-14T13:00:00,Zen Marketing,marketing,410.06,USD,NL,cash,Campaign spend - Zen Marketing,28.7,INV-00104,0
105,2024-07-18T08:00:00,Bright Office,office,301.5,USD,DE,ach,Office supplies purchase - Bright Office,21.1,INV-00105,0
106,2024-06-18T14:00:00,Zen Marketing,marketing,200.0,USD,CA,cash,Campaign spend - Zen Marketing,14.0,INV-00106,0
107,2024-07-25T20:00:00,TaxPrep LLC,professional_service,27.53,USD,GB,wire,Consulting retainer - TaxPrep LLC,1.93,INV-00107,0
108,2024-03-16T15:00:00,Quick Transports,logistics,578.36,USD,NL,wire,Freight shipment fee - Quick Transports,40.49,INV-00108,0
109,2024-08-21T12:00:00,Bright Office,office,300.43,USD,CA,wire,Office supplies purchase - Bright Office,21.03,INV-00109,0
110,2024-01-15T21:00:00,ComplySoft,cloud,400.0,USD,US,cash,Compute instance charges - ComplySoft,28.0,INV-00110,1
111,2024-05-08T21:00:00,Zen Marketing,marketing,303.77,USD,US,wire,Campaign spend - Zen Marketing,21.26,INV-00111,0
112,2024-02-22T16:00:00,Acme Software,software,42.84,USD,SG,cash,SaaS subscription - Acme Software,3.0,INV-00112,0
113,2024-03-04T16:00:00,Zen Marketing,marketing,528.75,USD,DE,ach,Campaign spend - Zen Marketing,37.01,INV-00113,0
114,2024-06-06T19:00:00,TaxPrep LLC,professional_service,3871.04,USD,IN,wire,Consulting retainer - TaxPrep LLC,270.97,INV-00114,0
115,2024-04-06T15:00:00,Zen Marketing,marketing,322.38,USD,US,wire,Campaign spend - Zen Marketing,22.57,INV-00115,0
116,2024-04-18T13:00:00,Quick Transports,logistics,426.62,USD,DE,wire,Freight shipment fee - Quick Transports,29.86,INV-00116,1
117,2024-03-04T13:00:00,Acme Software,software,555.86,USD,DE,wire,SaaS subscription - Acme Software,38.91,INV-00117,0
118,2024-09-19T16:00:00,Zen Marketing,marketing,28.84,USD,US,ach,Campaign spend - Zen Marketing,2.02,INV-00118,0
119,2024-08-01T13:00:00,City Diner,meals,535.57,USD,US,cash,Team lunch - City Diner,0.0,INV-00119,1
120,2024-01-16T15:00:00,Sunshine Hotels,lodging,227.87,USD,SG,wire,Hotel stay - Sunshine Hotels,0.0,INV-00120,0
121,2024-03-11T08:00:00,Zen Marketing,marketing,211.23,USD,GB,cash,Campaign spend - Zen Marketing,14.79,INV-00121,0
122,2024-09-18T09:00:00,Zen Marketing,marketing,366.23,USD,SG,ach,Campaign spend - Zen Marketing,25.64,INV-00122,0
123,2024-04-10T19:00:00,City Diner,meals,214.44,USD,NL,wire,Team lunch - City Diner,0.0,INV-00123,1
124,2024-02-17T15:00:00,Skyline Legal,legal,81.93,USD,DE,cash,Legal review fee - Skyline Legal,5.74,INV-00124,0
125,2024-06-01T13:00:00,TaxPrep LLC,professional_service,286.52,USD,IN,cash,Consulting retainer - TaxPrep LLC,20.06,INV-00125,1
126,2024-03-16T12:00:00,Zen Marketing,marketing,321.37,USD,NL,ach,Campaign spend - Zen Marketing,22.5,INV-00126,0
127,2024-04-18T09:00:00,Skyline Legal,legal,129.47,USD,SG,wire,Legal review fee - Skyline Legal,9.06,INV-00127,0
128,2024-04-04T09:00:00,Acme Software,software,617.35,USD,NL,ach,SaaS subscription - Acme Software,43.21,INV-00128,0
129,2024-01-08T16:00:00,Acme Software,software,498.32,USD,NL,cash,SaaS subscription - Acme Software,34.88,INV-00129,0
130,2024-09-13T09:00:00,Blue Travel,travel,253.86,USD,NL,ach,Airfare + baggage - Blue Travel,17.77,INV-00130,0
131,2024-09-18T14:00:00,TaxPrep LLC,professional_service,311.99,USD,NL,ach,Consulting retainer - TaxPrep LLC,21.84,INV-00131,1
132,2024-02-19T19:00:00,ComplySoft,cloud,328.11,USD,NL,wire,Compute instance charges - ComplySoft,22.97,INV-00132,0
133,2024-08-21T13:00:00,TaxPrep LLC,professional_service,0.0,USD,GB,ach,Consulting retainer - TaxPrep LLC,0.0,INV-00133,0
134,2024-04-22T12:00:00,ComplySoft,cloud,300.0,USD,DE,cash,Compute instance charges - ComplySoft,21.0,INV-00134,0
135,2024-03-12T16:00:00,Zen Marketing,marketing,200.0,USD,CA,ach,Campaign spend - Zen Marketing,14.0,INV-00135,0
136,2024-01-04T19:00:00,City Diner,meals,200.0,USD,SG,ach,Team lunch - City Diner,0.0,INV-00136,1
137,2024-01-02T18:00:00,Quick Transports,logistics,502.69,USD,NL,cash,Freight shipment fee - Quick Transports,35.19,INV-00137,0
138,2024-09-15T16:00:00,Blue Travel,travel,204.82,USD,IN,ach,Airfare + baggage - Blue Travel,14.34,INV-00138,0
139,2024-01-15T16:00:00,Quick Transports,logistics,1307.13,USD,CA,wire,Freight shipment fee - Quick Transports,91.5,INV-00139,0
140,2024-04-11T10:00:00,Bright Office,office,244.66,USD,US,card,Office supplies purchase - Bright Office,17.13,INV-00140,0
141,2024-09-25T13:00:00,Skyline Legal,legal,426.82,USD,GB,wire,Legal review fee - Skyline Legal,29.88,INV-00141,0
142,2024-03-22T11:00:00,Zen Marketing,marketing,338.71,USD,US,cash,Campaign spend - Zen Marketing,23.71,INV-00142,0
143,2024-08-29T13:00:00,Bright Office,office,512.38,USD,US,wire,Office supplies purchase - Bright Office,35.87,INV-00143,0
144,2024-01-07T15:00:00,Blue Travel,travel,100.0,USD,SG,wire,Airfare + baggage - Blue Travel,7.0,INV-00144,0
145,2024-04-22T21:00:00,Acme Software,software,652.21,USD,NL,card,SaaS subscription - Acme Software,45.65,INV-00145,0
146,2024-05-20T18:00:00,Sunshine Hotels,lodging,340.25,USD,IN,ach,Hotel stay - Sunshine Hotels,0.0,INV-00146,0
147,2024-09-20T14:00:00,Acme Software,software,645.06,USD,IN,card,SaaS subscription - Acme Software,45.15,INV-00147,0
148,2024-04-19T11:00:00,Acme Software,software,200.18,USD,CA,ach,SaaS subscription - Acme Software,14.01,INV-00148,0
149,2024-01-02T10:00:00,Acme Software,software,400.2,USD,DE,cash,SaaS subscription - Acme Software,28.01,INV-00149,0
150,2024-09-26T17:00:00,Zen Marketing,marketing,342.43,USD,IN,ach,Campaign spend - Zen Marketing,23.97,INV-00150,0
151,2024-07-30T15:00:00,Acme Software,software,495.38,USD,GB,card,SaaS subscription - Acme Software,34.68,INV-00151,1
152,2024-03-25T08:00:00,Acme Software,software,29.1,USD,CA,cash,SaaS subscription - Acme Software,2.04,INV-00152,0
153,2024-05-29T19:00:00,Skyline Legal,legal,372.5,USD,GB,cash,Legal review fee - Skyline Legal,26.08,INV-00153,0
154,2024-03-17T20:00:00,Quick Transports,logistics,36.62,USD,DE,wire,Freight shipment fee - Quick Transports,2.56,INV-00154,0
155,2024-05-06T09:00:00,Sunshine Hotels,lodging,486.95,USD,SG,card,Hotel stay - Sunshine Hotels,0.0,INV-00155,0
156,2024-02-20T11:00:00,ComplySoft,cloud,219.79,USD,US,card,Compute instance charges - ComplySoft,15.39,INV-00156,0
157,2024-07-10T10:00:00,Bright Office,office,500.0,USD,US,cash,Office supplies purchase - Bright Office,35.0,INV-00157,0
158,2024-01-05T10:00:00,Zen Marketing,marketing,32.15,USD,IN,ach,Campaign spend - Zen Marketing,2.25,INV-00158,0
159,2024-05-04T15:00:00,Skyline Legal,legal,193.26,USD,DE,ach,Legal review fee - Skyline Legal,13.53,INV-00159,0
160,2024-01-14T18:00:00,ComplySoft,cloud,131.45,USD,IN,card,Compute instance charges - ComplySoft,9.2,INV-00160,0
161,2024-04-19T18:00:00,Acme Software,software,277.25,USD,SG,card,SaaS subscription - Acme Software,19.41,INV-00161,0
162,2024-04-20T12:00:00,Blue Travel,travel,400.0,USD,DE,cash,Airfare + baggage - Blue Travel,28.0,INV-00162,0
163,2024-01-29T13:00:00,Acme Software,software,299.26,USD,NL,card,SaaS subscription - Acme Software,20.95,INV-00163,0
164,2024-05-14T11:00:00,Blue Travel,travel,268.67,USD,CA,card,Airfare + baggage - Blue Travel,18.81,INV-00164,0
165,2024-01-17T21:00:00,Global Supplies,office,424.72,USD,DE,ach,Office supplies purchase - Global Supplies,29.73,INV-00165,0
166,2024-07-28T19:00:00,City Diner,meals,424.96,USD,IN,cash,Team lunch - City Diner,0.0,INV-00166,1
167,2024-09-15T10:00:00,Zen Marketing,marketing,490.82,USD,DE,ach,Campaign spend - Zen Marketing,34.36,INV-00167,0
168,2024-08-15T16:00:00,Bright Office,office,4593.21,USD,GB,wire,Office supplies purchase - Bright Office,321.52,INV-00168,0
169,2024-06-04T12:00:00,TaxPrep LLC,professional_service,517.49,USD,US,wire,Consulting retainer - TaxPrep LLC,36.22,INV-00169,0
170,2024-02-15T19:00:00,Skyline Legal,legal,229.49,USD,CA,wire,Legal review fee - Skyline Legal,16.06,INV-00170,0
171,2024-04-26T14:00:00,Blue Travel,travel,189.07,USD,GB,card,Airfare + baggage - Blue Travel,13.24,INV-00171,0
172,2024-01-21T17:00:00,Bright Office,office,412.41,USD,CA,card,Office supplies purchase - Bright Office,28.87,INV-00172,0
173,2024-03-03T13:00:00,ComplySoft,cloud,16.61,USD,SG,card,Compute instance charges - ComplySoft,1.16,INV-00173,0
174,2024-08-10T08:00:00,City Diner,meals,12.39,USD,US,ach,Team lunch - City Diner,0.0,INV-00174,1
175,2024-03-16T16:00:00,Zen Marketing,marketing,92.39,USD,US,ach,Campaign spend - Zen Marketing,6.47,INV-00175,0
176,2024-03-10T16:00:00,TaxPrep LLC,professional_service,0.0,USD,CA,cash,Consulting retainer - TaxPrep LLC,0.0,INV-00176,0
177,2024-03-25T21:00:00,Blue Travel,travel,434.86,USD,IN,card,Airfare + baggage - Blue Travel,30.44,INV-00177,0
178,2024-03-10T19:00:00,Global Supplies,office,420.5,USD,DE,card,Office supplies purchase - Global Supplies,29.44,INV-00178,0
179,2024-05-20T18:00:00,Acme Software,software,171.14,USD,DE,ach,SaaS subscription - Acme Software,11.98,INV-00179,1
180,2024-04-07T20:00:00,Bright Office,office,418.07,USD,CA,wire,Office supplies purchase - Bright Office,29.26,INV-00180,0
181,2024-04-28T17:00:00,ComplySoft,cloud,225.21,USD,IN,wire,Compute instance charges - ComplySoft,15.77,INV-00181,0
182,2024-08-13T11:00:00,Quick Transports,logistics,275.85,USD,GB,wire,Freight shipment fee - Quick Transports,19.31,INV-00182,0
183,2024-04-20T12:00:00,Global Supplies,office,1800.0,USD,GB,ach,Office supplies purchase - Global Supplies,126.0,INV-00183,1
184,2024-03-08T12:00:00,Skyline Legal,legal,406.31,USD,SG,wire,Legal review fee - Skyline Legal,28.44,INV-00184,0
185,2024-04-18T21:00:00,TaxPrep LLC,professional_service,381.79,USD,IN,wire,Consulting retainer - TaxPrep LLC,26.73,INV-00185,0
186,2024-03-24T20:00:00,Blue Travel,travel,255.69,USD,GB,cash,Airfare + baggage - Blue Travel,17.9,INV-00186,0
187,2024-02-16T08:00:00,Quick Transports,logistics,556.75,USD,SG,wire,Freight shipment fee - Quick Transports,38.97,INV-00187,0
188,2024-01-08T10:00:00,Acme Software,software,151.96,USD,DE,cash,SaaS subscription - Acme Software,10.64,INV-00188,0
189,2024-07-08T11:00:00,Global Supplies,office,164.74,USD,GB,card,Office supplies purchase - Global Supplies,11.53,INV-00189,0
190,2024-02-21T08:00:00,TaxPrep LLC,professional_service,70.94,USD,DE,cash,Consulting retainer - TaxPrep LLC,4.97,INV-00190,0
191,2024-02-27T19:00:00,Cloud Infra,cloud,131.15,USD,GB,wire,Compute instance charges - Cloud Infra,9.18,INV-00191,0
192,2024-08-04T14:00:00,Zen Marketing,marketing,560.91,USD,SG,ach,Campaign spend - Zen Marketing,39.26,INV-00192,1
193,2024-09-01T18:00:00,Quick Transports,logistics,171.16,USD,GB,card,Freight shipment fee - Quick Transports,11.98,INV-00193,0
194,2024-04-09T20:00:00,Quick Transports,logistics,82.94,USD,US,cash,Freight shipment fee - Quick Transports,5.81,INV-00194,0
195,2024-07-05T18:00:00,ComplySoft,cloud,390.03,USD,IN,card,Compute instance charges - ComplySoft,27.3,INV-00195,0
196,2024-07-10T11:00:00,Acme Software,software,76.01,USD,CA,wire,SaaS subscription - Acme Software,5.32,INV-00196,0
197,2024-07-27T08:00:00,Skyline Legal,legal,226.35,USD,CA,wire,Legal review fee - Skyline Legal,15.84,INV-00197,0
198,2024-04-02T12:00:00,Sunshine Hotels,lodging,398.38,USD,SG,ach,Hotel stay - Sunshine Hotels,0.0,INV-00198,0
199,2024-02-17T16:00:00,City Diner,meals,102.38,USD,SG,card,Team lunch - City Diner,0.0,INV-00199,1
200,2024-04-23T18:00:00,Bright Office,office,586.39,USD,US,cash,Office supplies purchase - Bright Office,41.05,INV-00200,0
201,2024-02-28T19:00:00,Blue Travel,travel,455.68,USD,DE,ach,Airfare + baggage - Blue Travel,31.9,INV-00201,0
202,2024-02-09T11:00:00,Cloud Infra,cloud,273.47,USD,IN,wire,Compute instance charges - Cloud Infra,19.14,INV-00202,0
203,2024-05-24T19:00:00,Global Supplies,office,369.04,USD,SG,card,Office supplies purchase - Global Supplies,25.83,INV-00203,0
204,2024-06-12T16:00:00,Quick Transports,logistics,266.81,USD,US,card,Freight shipment fee - Quick Transports,18.68,INV-00204,0
205,2024-01-05T18:00:00,Blue Travel,travel,487.24,USD,US,wire,Airfare + baggage - Blue Travel,34.11,INV-00205,0
206,2024-06-26T16:00:00,Bright Office,office,4316.15,USD,SG,cash,Office supplies purchase - Bright Office,302.13,INV-00206,0
207,2024-06-13T18:00:00,Global Supplies,office,246.32,USD,US,ach,Office supplies purchase - Global Supplies,17.24,INV-00207,0
208,2024-02-20T13:00:00,Cloud Infra,cloud,225.47,USD,SG,ach,Compute instance charges - Cloud Infra,15.78,INV-00208,0
209,2024-06-22T19:00:00,Bright Office,office,186.48,USD,GB,wire,Office supplies purchase - Bright Office,13.05,INV-00209,0
210,2024-03-12T16:00:00,TaxPrep LLC,professional_service,485.31,USD,SG,wire,Consulting retainer - TaxPrep LLC,33.97,INV-00210,0
211,2024-06-22T09:00:00,Bright Office,office,311.69,USD,SG,cash,Office supplies purchase - Bright Office,21.82,INV-00211,0
212,2024-02-18T19:00:00,Acme Software,software,75.94,USD,CA,ach,SaaS subscription - Acme Software,5.32,INV-00212,0
